Wavelength,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1046.6,1.40E-07,1.266E-07,1.44422E-07,1.46408E-07,1.43816E-07,1.32292E-07,1.33705E-07,1.35777E-07,1.3744E-07,1.32574E-07,1.37549E-07,1.27517E-07,1.26026E-07,1.32011E-07,1.31836E-07,1.23951E-07,1.1905E-07,1.22891E-07,1.2465E-07,1.25085E-07,1.35059E-07,1.266E-07,1.23023E-07,1.27177E-07,1.17454E-07,1.36534E-07,1.39599E-07,1.26161E-07,1.25689E-07,1.25689E-07,1.15719E-07
1047.7,1.45E-07,1.27282E-07,1.31589E-07,1.36418E-07,1.37649E-07,1.39294E-07,1.33843E-07,1.42746E-07,1.52204E-07,1.31904E-07,1.39477E-07,1.3124E-07,1.33453E-07,1.26909E-07,1.16741E-07,1.38086E-07,1.2006E-07,1.29024E-07,1.29334E-07,1.36238E-07,1.32184E-07,1.34198E-07,1.29334E-07,1.37722E-07,1.24857E-07,1.39073E-07,1.33312E-07,1.32114E-07,1.34696E-07,1.25158E-07,1.2439E-07
1048.8,1.43E-07,1.50074E-07,1.40607E-07,1.54426E-07,1.25627E-07,1.39087E-07,1.4913E-07,1.2815E-07,1.42857E-07,1.38167E-07,1.32581E-07,1.36162E-07,1.37325E-07,1.41841E-07,1.26883E-07,1.40756E-07,1.29566E-07,1.27361E-07,1.1996E-07,1.28184E-07,1.24114E-07,1.37544E-07,1.37764E-07,1.32687E-07,1.25762E-07,1.41466E-07,1.21791E-07,1.25087E-07,1.32474E-07,1.36561E-07,1.32156E-07
1049.9,1.46E-07,1.50907E-07,1.45152E-07,1.41971E-07,1.34928E-07,1.41522E-07,1.44694E-07,1.50276E-07,1.43971E-07,1.43213E-07,1.41036E-07,1.22831E-07,1.40107E-07,1.41746E-07,1.35431E-07,1.31627E-07,1.28947E-07,1.24931E-07,1.23661E-07,1.39146E-07,1.31171E-07,1.33998E-07,1.35144E-07,1.39367E-07,1.28087E-07,1.40441E-07,1.44884E-07,1.44465E-07,1.42723E-07,1.38228E-07,1.29743E-07
1051,1.48E-07,1.50792E-07,1.45102E-07,1.52424E-07,1.49725E-07,1.4263E-07,1.43235E-07,1.55777E-07,1.45909E-07,1.36264E-07,1.41239E-07,1.49922E-07,1.39452E-07,1.27312E-07,1.22597E-07,1.3025E-07,1.33423E-07,1.34604E-07,1.37137E-07,1.41501E-07,1.44185E-07,1.41426E-07,1.32641E-07,1.38272E-07,1.31511E-07,1.48704E-07,1.25983E-07,1.43387E-07,1.34353E-07,1.42328E-07,1.3109E-07
1052.1,1.53E-07,1.53551E-07,1.53393E-07,1.53156E-07,1.38705E-07,1.54422E-07,1.41398E-07,1.46508E-07,1.4872E-07,1.54105E-07,1.53867E-07,1.48951E-07,1.49529E-07,1.47039E-07,1.40922E-07,1.29155E-07,1.40228E-07,1.44924E-07,1.42171E-07,1.51547E-07,1.48951E-07,1.47572E-07,1.43059E-07,1.49567E-07,1.42024E-07,1.4685E-07,1.5104E-07,1.5143E-07,1.25209E-07,1.46546E-07,1.48414E-07
1053.2,1.66E-07,1.48488E-07,1.61676E-07,1.62891E-07,1.5185E-07,1.4814E-07,1.60802E-07,1.51377E-07,1.52642E-07,1.64156E-07,1.37882E-07,1.43869E-07,1.57386E-07,1.53796E-07,1.45838E-07,1.56168E-07,1.42221E-07,1.34262E-07,1.42556E-07,1.51102E-07,1.4622E-07,1.42109E-07,1.43305E-07,1.51811E-07,1.4687E-07,1.43793E-07,1.39047E-07,1.49497E-07,1.47831E-07,1.50239E-07,1.52206E-07
1054.3,1.70E-07,1.53375E-07,1.54167E-07,1.70364E-07,1.56284E-07,1.58223E-07,1.61752E-07,1.64088E-07,1.55322E-07,1.53415E-07,1.5239E-07,1.51998E-07,1.50904E-07,1.46447E-07,1.5798E-07,1.55722E-07,1.54207E-07,1.50049E-07,1.46712E-07,1.47626E-07,1.54207E-07,1.57049E-07,1.4359E-07,1.44862E-07,1.46978E-07,1.62541E-07,1.53296E-07,1.52155E-07,1.5385E-07,1.51606E-07,1.56324E-07
1055.4,1.63E-07,1.58648E-07,1.57427E-07,1.59302E-07,1.59836E-07,1.60289E-07,1.58403E-07,1.70284E-07,1.69329E-07,1.58403E-07,1.57103E-07,1.48689E-07,1.55291E-07,1.58893E-07,1.51644E-07,1.46507E-07,1.54451E-07,1.42561E-07,1.50316E-07,1.57996E-07,1.60206E-07,1.57265E-07,1.46241E-07,1.49191E-07,1.37949E-07,1.67433E-07,1.41746E-07,1.53418E-07,1.45143E-07,1.57265E-07,1.49888E-07
1056.5,1.71E-07,1.5151E-07,1.65914E-07,1.62161E-07,1.5988E-07,1.56411E-07,1.70659E-07,1.67625E-07,1.61952E-07,1.65701E-07,1.53764E-07,1.56815E-07,1.59139E-07,1.61286E-07,1.49634E-07,1.52179E-07,1.48782E-07,1.39976E-07,1.53287E-07,1.60913E-07,1.51078E-07,1.58975E-07,1.51039E-07,1.53963E-07,1.62035E-07,1.58484E-07,1.53843E-07,1.53168E-07,1.53287E-07,1.72989E-07,1.54122E-07
