,Wavelength,Intensity,Intensity_1425,Intensity_1285,Intensity_830,Intensity_940,Intensity_1150,Intensity_1535
276,1302,0.875825849,0.0699347909612,0.810111294853,4.65008261551e-163,8.89175037912e-19,0.0857913138596,1.09889940473e-21
277,1304,0.876861835,0.0760979776368,0.803120779046,1.90663152974e-164,5.707325935e-19,0.0810251609587,2.42350364866e-21
278,1306,0.875047827,0.0826912361418,0.795240565245,7.71200265724e-166,3.65437327032e-19,0.0764457988163,5.30948879778e-21
279,1308,0.874739526,0.0897330414271,0.786498096343,3.07724353944e-167,2.33414565808e-19,0.0720517413056,1.15554012611e-20
280,1310,0.874815288,0.0972415397071,0.776923599992,1.21129762232e-168,1.48722891291e-19,0.0678410367417,2.49827731344e-20
281,1312,0.874523728,0.105234417233,0.766549914571,4.70364091037e-170,9.45284427701e-20,0.0638113023564,5.36561550904e-20
282,1314,0.871589994,0.113728761264,0.755412301681,1.8018214447e-171,5.99352063473e-20,0.0599597589077,1.14477923769e-19
283,1316,0.871304945,0.12274091377,0.743548246686,6.80900482594e-173,3.79084758839e-20,0.05628326521,2.42631526741e-19
284,1318,0.868885176,0.132286318515,0.730997248854,2.53834021671e-174,2.39180329924e-20,0.0527783523861,5.10853071492e-19
285,1320,0.868338081,0.142379362287,0.717800602763,9.33491391797e-176,1.50539134574e-20,0.0494412576541,1.06848413478e-18
286,1322,0.868051643,0.153033211166,0.704001172636,3.38660934452e-177,9.45166210073e-21,0.0462679574769,2.22005348881e-18
287,1324,0.868513809,0.164259642827,0.689643161351,1.2120322769e-178,5.91972833642e-21,0.0432541999196,4.5822849215e-18
288,1326,0.865884365,0.17606887602,0.674771875832,4.27915055389e-180,3.6985388447e-21,0.0403955360717,9.39558946412e-18
289,1328,0.861655345,0.188469398431,0.65943349058,1.49037393248e-181,2.30511931345e-21,0.0376873504096,1.91376790071e-17
290,1330,0.857174741,0.201467794306,0.643674811036,5.12067512367e-183,1.43314935419e-21,0.035124889987,3.87237841683e-17
291,1332,0.853203117,0.215068573244,0.627543038465,1.73561541567e-184,8.8884147793e-22,0.0327032923613,7.78376305136e-17
292,1334,0.849359529,0.22927400172,0.611085537983,5.80328731434e-186,5.49910473212e-22,0.0304176121722,1.55426373589e-16
293,1336,0.846040242,0.244083938935,0.594349611299,1.91420719519e-187,3.39386440462e-22,0.0282628463105,3.08306806346e-16
294,1338,0.844698914,0.259495678684,0.577382275655,6.22871004392e-189,2.08944912172e-22,0.026233957623,6.07525906475e-16
295,1340,0.840906571,0.27550379897,0.560230050354,1.99940872211e-190,1.28322830854e-22,0.0243258971185,1.18924075189e-15
