,Wavelength,Intensity,Intensity_1416,Intensity_1320,Intensity_1200,Intensity_1655,Intensity_1535
119,1119,4.00885e-07,1.12849535009e-15,5.63871514908e-13,3.93860131964e-07,0.0,1.09383484197e-153
120,1120,4.02492e-07,1.30631443374e-15,6.49489178615e-13,3.96864212283e-07,0.0,5.50343371264e-153
121,1121,4.01188e-07,1.51139921429e-15,7.47584530822e-13,3.99860194159e-07,0.0,2.75824362935e-152
122,1122,4.0942e-07,1.74780981488e-15,8.59894787143e-13,4.02847550029e-07,0.0,1.37704586204e-151
123,1123,4.15761e-07,2.0201921099e-15,9.88386828377e-13,4.05825750378e-07,0.0,6.84827327413e-151
124,1124,4.27057e-07,2.33385936444e-15,1.13528579882e-12,4.08794263899e-07,0.0,3.39258436774e-150
125,1125,4.27117e-07,2.69488482795e-15,1.30310702067e-12,4.11752557637e-07,0.0,1.67416064249e-149
126,1126,4.29445e-07,3.11020669109e-15,1.49469157651e-12,4.14700097145e-07,0.0,8.22963352818e-149
127,1127,4.2667e-07,3.5877469872e-15,1.71324594487e-12,4.17636346642e-07,0.0,4.0297746567e-148
128,1128,4.27478e-07,4.13654621279e-15,1.96238610993e-12,4.20560769169e-07,0.0,1.96561258096e-147
129,1129,4.31161e-07,4.76691565617e-15,2.24618660482e-12,4.23472826745e-07,0.0,9.55062915481e-147
130,1130,4.47673e-07,5.49060966299e-15,2.56923498964e-12,4.26371980531e-07,0.0,4.62256405248e-146
131,1131,4.49221e-07,6.32102033413e-15,2.93669230975e-12,4.29257690991e-07,0.0,2.22869577723e-145
132,1132,4.54025e-07,7.27339744821e-15,3.35436012792e-12,4.32129418053e-07,0.0,1.07037397118e-144
133,1133,4.55507e-07,8.365096731e-15,3.82875477483e-12,4.34986621276e-07,0.0,5.12079259133e-144
134,1134,4.53667e-07,9.61585996113e-15,4.36718951732e-12,4.37828760016e-07,0.0,2.44037028943e-143
135,1135,4.46879e-07,1.10481308083e-14,4.97786540195e-12,4.4065529359e-07,0.0,1.1584870114e-142
136,1136,4.53616e-07,1.2687410753e-14,5.66997159356e-12,4.43465681445e-07,0.0,5.47827091966e-142
137,1137,4.62773e-07,1.4562659937e-14,6.45379609461e-12,4.4625938333e-07,0.0,2.580552741e-141
138,1138,4.68067e-07,1.67067483503e-14,7.34084780066e-12,4.49035859462e-07,0.0,1.21087376594e-140
139,1139,4.73825e-07,1.91569633746e-14,8.34399092191e-12,4.517945707e-07,0.0,5.65981059204e-140
140,1140,4.81862e-07,2.19555803848e-14,9.47759287839e-12,4.54534978715e-07,0.0,2.63524999934e-139
141,1141,4.80701e-07,2.51505038598e-14,1.07576868591e-11,4.57256546162e-07,0.0,1.22224605188e-138
142,1142,4.81837e-07,2.87959872903e-14,1.22021503219e-11,4.59958736856e-07,0.0,5.64692943971e-138
143,1143,4.77605e-07,3.29534410832e-14,1.38309008016e-11,4.62641015942e-07,0.0,2.59886054596e-137
144,1144,4.76728e-07,3.76923386795e-14,1.5666110489e-11,4.65302850072e-07,0.0,1.19143536723e-136
145,1145,4.75099e-07,4.30912322164e-14,1.77324411429e-11,4.67943707579e-07,0.0,5.4409520231e-136
146,1146,4.72572e-07,4.9238890295e-14,2.0057300999e-11,4.70563058651e-07,0.0,2.4751196721e-135
147,1147,4.67426e-07,5.62355717682e-14,2.26711254492e-11,4.73160375508e-07,0.0,1.12159071223e-134
148,1148,4.82078e-07,6.41944509524e-14,2.56076833722e-11,4.75735132578e-07,0.0,5.06278521932e-134
149,1149,4.83383e-07,7.3243211303e-14,2.89044111131e-11,4.78286806669e-07,0.0,2.27646773657e-133
150,1150,4.94254e-07,8.35258263908e-14,3.26027762256e-11,4.80814877148e-07,0.0,1.01964828373e-132
151,1151,4.94433e-07,9.52045489882e-14,3.674867321e-11,4.83318826116e-07,0.0,4.54942157004e-132
152,1152,4.92513e-07,1.08462131237e-13,4.13928536032e-11,4.85798138584e-07,0.0,2.02198937461e-131
153,1153,4.99417e-07,1.23504301236e-13,4.65913929003e-11,4.88252302647e-07,0.0,8.95196658905e-131
154,1154,5.10455e-07,1.40562523992e-13,5.24061969118e-11,4.90680809659e-07,0.0,3.94797990115e-130
